date,ACD,ADE,AED,AGC,AN1,ATJ,BCK,BHF,BTE,BVD,BVV,CKL,CPT,DBP,DFC,DGF,DHT,DID,DRT,DTM,DTZ,DVT,DYN,EBD,ECA,EDN,EDU,EGR,EIB,EML,ETN,EVM,FD1,FDG,FID,FLY,FNO,GAH,GBV,GMA,GPB,GPG,GPI,GPT,GPU,GVA,GZG,GZH,GZL,GZY,GZZ,HDD,HIZ,HJB,HKG,HOA,HPD,HPO,HSA,HTJ,HVU,IAE,IBB,ICC,ICD,ICH,IDY,IED,IEV,IJA,IJC,IJZ,IPB,IRT,IVY,IYB,JET,KIA,KIB,KOD,KRF,KUB,MAD,MBL,MD1,MD2,MET,MTD,MTV,MTX,NKP,NRC,NTI,NZH,OBP,ODG,OKD,OPB,OPF,OPL,OTM,PBR,PGD,PID,PPZ,RD1,RGD,RIK,RKC,RPC,RPD,RPM,RTD,RTG,RUT,SD1,SGK,SGT,SHE,SOS,SPR,SSK,SUA,SUB,SVB,TAR,TE3,TE4,TGA,TGR,TI3,TI4,TI7,TMC,TND,TPV,URA,VCY,YDP,YIT,YJH,YLC,YLO,YPC,YSH,YSU,YTV,YZC,YZH,YZT,ZBD,ZDD,ZDZ,ZFB,ZIH,ZMY
2021-08-19,0.460116,0.205809,11.324676,1.499309,9.422259,1.413397,,,,,,,,0.048145,,,,,,,,,,0.030775,0.17119,,,,0.084457,,,,,,0.129952,,0.02828,1.770584,,0.217302,2.49682,1.783256,2.531912,,2.604326,,0.0,0.914458,0.0,0.0,0.0,,,0.0,,0.026627,0.034933,0.030311,158.003099,,,,1.821272,0.143746,21.856971,,0.033616,,,0.0,1.023797,1.046956,0.048374,,,0.820632,,,,,1.893232,0.097219,0.121885,0.071004,,,,,,,,,,1.095621,0.032704,,0.052518,1.739305,,1.107369,,,,,1.175032,,,,,,1.110066,,,,,,,,,,,,0.07935,0.044165,,,6.308025,1.093342,0.040297,0.886998,0.010203,0.009809,11.395258,0.030077,,2.37354,,,,,,,,,,0.023824,,,0.841651,,104.201783,1.247072,1.279151,0.0,,
2021-08-20,0.458035,0.205901,11.320155,1.504192,9.396035,1.409149,,,,,,,,0.04814,,,,,,,,,,0.030738,0.170423,,,,0.084531,,,,,,0.12956,,0.02827,1.771799,,0.216575,2.498314,1.77904,2.533836,,2.603769,,0.0,0.906869,0.0,0.0,0.0,,,0.0,,0.026741,0.034858,0.030289,156.740141,,,,1.821325,0.143391,21.868563,,0.033622,,,0.0,1.021355,1.044729,0.048253,,,0.825467,,,,,1.891435,0.097023,0.122194,0.071032,,,,,,,,,,1.096295,0.032794,,0.052546,1.74163,,1.108218,,,,,1.175624,,,,,,1.113814,,,,,,,,,,,,0.079223,0.043971,,,6.310148,1.092329,0.040254,0.880925,0.010131,0.009814,11.399233,0.030067,,2.375197,,,,,,,,,,0.0238,,,0.831164,,104.36584,1.249539,1.281138,0.0,,
2021-08-23,0.461425,0.206183,11.296038,1.504923,9.411918,1.417816,,,,,,,,0.048222,,,,,,,,,,0.030786,0.170867,,,,0.084556,,,,,,0.12921,,0.028338,1.773512,,0.216039,2.499977,1.783529,2.536683,,2.60833,,0.0,0.917485,0.0,0.0,0.0,,,0.0,,0.026926,0.034941,0.030311,156.608576,,,,1.823698,0.143658,21.896587,,0.033644,,,0.0,1.036154,1.053293,0.048081,,,0.828105,,,,,1.896131,0.097422,0.122019,0.071059,,,,,,,,,,1.098185,0.032895,,0.052515,1.742558,,1.108279,,,,,1.177424,,,,,,1.121706,,,,,,,,,,,,0.079376,0.044033,,,6.31472,1.093772,0.040061,0.882423,0.010129,0.009826,11.409135,0.030073,,2.371863,,,,,,,,,,0.023793,,,0.834613,,104.908722,1.253112,1.291186,0.0,,
2021-08-24,0.462663,0.206276,11.386751,1.499243,9.454183,1.416406,,,,,,,,0.048241,,,,,,,,,,0.030862,0.172083,,,,0.084542,,,,,,0.129992,,0.028347,1.77488,,0.216929,2.503184,1.787551,2.538083,,2.612991,,0.0,0.928659,0.0,0.0,0.0,,,0.0,,0.026994,0.035033,0.030308,158.10965,,,,1.828835,0.144117,21.903189,,0.033647,,,0.0,1.052863,1.056539,0.048455,,,0.833102,,,,,1.899211,0.097252,0.122248,0.071146,,,,,,,,,,1.098783,0.033014,,0.052652,1.745572,,1.108849,,,,,1.178024,,,,,,1.129016,,,,,,,,,,,,0.079473,0.044165,,,6.315769,1.094751,0.040239,0.895834,0.010309,0.009835,11.434048,0.03011,,2.374409,,,,,,,,,,0.023823,,,0.847469,,106.16646,1.259004,1.312359,0.0,,
2021-08-25,0.464804,0.206373,11.402744,1.495086,9.466029,1.41565,,,,,,,,0.048262,,,,,,,,,,0.030889,0.172469,,,,0.084591,,,,,,0.130523,,0.028329,1.77619,,0.217299,2.503413,1.792583,2.539565,,2.615795,,0.0,0.931493,0.0,0.0,0.0,,,0.0,,0.026983,0.035035,0.030346,158.092126,,,,1.831691,0.144473,21.912321,,0.033681,,,0.997581,1.059282,1.070404,0.048939,,,0.834026,,,,,1.900308,0.097185,0.122224,0.071175,,,,,,,,,,1.09963,0.033105,,0.052879,1.745007,,1.109313,,,,,1.178622,,,,,,1.136548,,,,,,,,,,,,0.079509,0.044242,,,6.321091,1.096662,0.040189,0.921838,0.010278,0.009839,11.449413,0.030146,,2.375318,,,,,,,,,,0.023879,,,0.848003,,106.801206,1.262719,1.322873,0.0,,
2021-08-26,0.462459,0.206467,11.330183,1.491162,9.452721,1.415972,,,,,,,,0.048225,,,,,,,,,,0.030847,0.171603,,,,0.084636,,,,,,0.129493,,0.028298,1.775838,,0.216292,2.504812,1.792617,2.540181,,2.615951,,0.0,0.931522,0.0,0.0,0.0,,,0.0,,0.026933,0.035001,0.030354,157.597564,,,,1.82429,0.143996,21.921272,,0.033682,,,0.994382,1.05853,1.076238,0.048694,,,0.833588,,,,,1.88509,0.097025,0.12219,0.071204,,,,,,,,,,1.100171,0.033233,,0.052692,1.74226,,1.105354,,,,,1.179224,,,,,,1.140777,,,,,,,,,,,,0.079509,0.044145,,,6.324383,1.095798,0.039937,0.921079,0.010207,0.009834,11.422486,0.030089,,2.361007,,,,,,,,,,0.023909,,,0.844295,,106.992059,1.265723,1.325024,0.0,,
2021-08-27,0.462842,0.20656,11.292982,1.490197,9.416005,1.408816,,,,,,,,0.048191,,,,,,,,,,0.030812,0.171445,,,,0.084566,,,,,,0.128809,,0.02824,1.774064,,0.215913,2.502922,1.790833,2.537191,,2.609113,,0.0,0.924813,0.0,0.0,0.0,,,0.0,,0.026833,0.034918,0.030365,157.146196,,,,1.819551,0.143776,21.930119,,0.033648,,,0.991448,1.052893,1.079582,0.048921,,,0.832208,,,,,1.882494,0.096765,0.122552,0.071232,,,,,,,,,,1.100901,0.033178,,0.052659,1.740532,,1.105086,,,,,1.179826,,,,,,1.136074,,,,,,,,,,,,0.079528,0.044028,,,6.322068,1.093803,0.039872,0.912086,0.010137,0.009832,11.408024,0.030112,,2.362617,,,,,,,,,,0.023909,,,0.839463,,106.54522,1.264478,1.317165,0.0,,
2021-08-31,0.464699,0.206935,11.308194,1.491603,9.462749,1.40951,,,,,,,,0.04831,,,,,,,,,,0.03092,0.172194,,,,0.0846,,,,,,0.129003,,0.028361,1.780098,,0.216543,2.510312,1.794275,2.546574,,2.624051,,0.0,0.936383,0.0,0.0,0.0,,,0.0,,0.027004,0.035122,0.030418,158.486843,,,,1.824642,0.144197,21.971777,,0.03369,,,0.994683,1.059398,1.081975,0.048716,,,0.838064,,,,,1.890694,0.097236,0.122391,0.071259,,,,,,,,,,1.103365,0.033165,,0.052688,1.74915,,1.106067,,,,,1.182224,,,,,,1.136123,,,,,,,,,,,,0.079661,0.044184,,,6.330218,1.096049,0.04013,0.912026,0.010249,0.009851,11.42813,0.030143,,2.36191,,,,,,,,,,0.023931,,,0.846159,,106.508399,1.263804,1.316396,0.0,,
2021-09-01,0.466217,0.207029,11.36042,1.486719,9.515974,1.41277,,,,,,,,0.048373,,,,,,,,,,0.031039,0.173225,,,,0.084606,,,,,,0.129894,,0.028361,1.781166,,0.216983,2.513976,1.803095,2.548799,,2.626068,,0.0,0.935182,0.0,0.0,0.0,,,0.0,,0.027089,0.035173,0.030452,159.43493,,,,1.823965,0.144527,21.977759,,0.033718,,,1.000944,1.070938,1.082619,0.048886,,,0.839199,,,,,1.885566,0.096666,0.122599,0.071377,,,,,,,,,,1.103965,0.033196,,0.052898,1.750838,,1.10591,,,,,1.182823,,,,,,1.137656,,,,,,,,,,,,0.079624,0.044459,,,6.335235,1.097943,0.040415,0.909281,0.010356,0.009853,11.42954,0.030173,,2.365071,,,,,,,,,,0.023978,,,0.866824,,106.757157,1.265171,1.319415,0.0,,
2021-09-02,0.466613,0.207123,11.389116,1.484322,9.555223,1.415695,,,,,,,,0.04841,,,,,,,,,,0.031076,0.173633,,,,0.08474,,,,,,0.130481,,0.028338,1.781088,,0.217442,2.513872,1.811035,2.547894,,2.623317,,0.0,0.935759,0.0,0.0,0.0,,,0.0,,0.027113,0.035181,0.03048,159.266001,,,,1.823474,0.144788,21.985749,,0.033729,,,1.000391,1.069954,1.081643,0.049441,,,0.841444,,,,,1.884157,0.096679,0.122861,0.071405,,,,,,,,,,1.104565,0.033213,,0.053034,1.751062,,1.107031,,,,,1.183423,,,,,,1.137693,,,,,,,,,,,,0.079634,0.044464,,,6.338859,1.097664,0.040507,0.914867,0.0103,0.009856,11.432332,0.030215,,2.373461,,,,,,,,,,0.02402,,,0.863912,,106.955033,1.267072,1.321889,0.0,,
2021-09-03,0.466921,0.207217,11.377843,1.483108,9.599776,1.41759,,,,,,,,0.048401,,,,,,,,,,0.03108,0.173842,,,,0.084727,,,,,,0.130968,,0.02832,1.782929,,0.217547,2.516772,1.812861,2.550432,,2.627698,,0.0,0.941181,0.0,0.0,0.0,,,0.0,,0.027054,0.035183,0.030498,159.430087,,,,1.824488,0.144963,21.995266,,0.033742,,,1.001995,1.068729,1.083232,0.049525,,,0.842793,,,,,1.886008,0.09653,0.122788,0.071434,,,,,,,,,,1.105213,0.033246,,0.05298,1.752046,,1.106485,,,,,1.184011,,,,,,1.138482,,,,,,,,,,,,0.079725,0.04453,,,6.341257,1.098353,0.040615,0.91629,0.010389,0.00986,11.437381,0.030221,,2.386419,,,,,,,,,,0.024047,,,0.867937,,107.093207,1.268475,1.325048,0.994418,,
2021-09-06,0.464992,0.207502,11.362843,1.488531,9.573286,1.416337,,,,,,,,0.048427,,,,,,,,,,0.031061,0.173389,,,,0.084887,,,,,,0.130542,,0.028353,1.784479,,0.216916,2.51717,1.816011,2.551524,,2.627708,,0.0,0.939652,0.0,0.0,0.0,,,0.0,,0.027155,0.035188,0.030529,158.669542,,,,1.825863,0.144811,22.025479,,0.033801,,,0.99921,1.075089,1.092285,0.049452,,,0.845445,,,,,1.885536,0.096955,0.122753,0.07146,,,,,,,,,,1.107123,0.03328,,0.052895,1.752772,,1.107664,,,,,1.185812,,,,,,1.138799,,,,,,,,,,,,0.079712,0.044437,,,6.352304,1.099548,0.040399,0.914582,0.010316,0.009872,11.448513,0.030251,,2.382308,,,,,,,,,,0.02408,,,0.863111,,107.332178,1.270984,1.326731,0.991025,,
